id,PROJECTNUMBER,MW,PROJECT_CITY,STATE,PROJECT_COUNTRY,CORE_MARKET,PROJECT_TYPE,SIZE_BUILDINGSIZE,NUMFLOORS,NUMROOMS,NUMBEDS,invoiceId,invoiceDate,invoiceTotal,ItemDescription,MasterItemNo,QtyShipped,UOM,ExtendedQuantity,PriceUOM,UnitPrice,ExtendedPrice,CONSTRUCTION_START_DATE,SUBSTANTIAL_COMPLETION_DATE,REVISED_ESTIMATE,ItemDesc_norm,cluster,material_key
7377,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1655,5/9/2024,394570.9,"#6 x 1-1/4"" Scorpion Bugle Head Drill Point Zinc 8M",46796,3,BX,3,BX,8976.25,26928.75,5/6/2022 0:00,5/30/2025 0:00,15598821597,6 x 1-1/4 scorpion bugle head drill point zinc 8m,10,Misc
9677,A0-0219,,Indore,Madhya Pradesh,India,Misc Market,Learning Hub,40000,2,0,0,B0-2412,2/27/2023,2720052.58,"4"" x 10' Track 1-1/2"" Leg 16ga",50891,8,PC,0.08,ML,137190.5,10975.24,12/14/2021 0:00,11/17/2023 12:00,3600136735,4 x 10 track 1-1/2 leg 16ga,1,Steel
7299,A0-0194,,Bhopal,Madhya Pradesh,India,Enterprise,Workspace,262400,,,,B0-1642,5/1/2024,50186.005,"2-1/2"" x 10' Track 1-1/4"" Leg 18ga",59996,10,PC,0.1,ML,90180,9018,4/1/2022 0:00,6/18/2024 0:00,1458294768,2-1/2 x 10 track 1-1/4 leg 18ga,1,Steel
13089,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3676,10/15/2024,131595.165,"6"" x 10' Flat Strap 20ga 30mil",61409,140,PC,1.4,ML,88259.5,123563.3,8/15/2022 0:00,1/21/2025 0:00,23204555261,6 x 10 flat strap 20ga 30mil,6,Misc
5599,A0-0175,,Nagpur,Maharashtra,India,Wellness,Health Center,1596,,,,B0-1207,2/8/2024,616143.16,"3/4"" x 2' x 4' USG Mars SQ 48SF White 6/CT",59801,8,CT,0.384,MS,219187.5,84168,9/14/2023 0:00,7/31/2024 12:00,76979735.5,3/4 x 2 x 4 usg mars sq 48sf white 6/ct,8,Drywall
8204,A0-0155,,Surat,Gujarat,India,Misc Market,Workspace,838094,41,,,B0-1884,1/30/2023,98464.87,"6"" x 10' Flat Strap 18ga 43mil
LVL 7 AREA 2",61410,50,PC,0.5,ML,106462.5,53231.25,9/2/2019 0:00,12/29/2023 17:00,15673671106,6 x 10 flat strap 18ga 43mil lvl 7 area 2,14,Misc
4360,A0-0065,,Patna,Bihar,India,Tertiary Learning,R&amp;D Laboratories,1800,,,,B0-0436,8/14/2023,291192.055,"2-1/2"" 20ga DW Stud 12'",61187,90,pcs,1080,,50601,,5/29/2023 0:00,8/29/2023 12:00,47040476.5,2-1/2 20ga dw stud 12,3,Steel
9408,A0-0249,,Vadodara,Gujarat,India,Tertiary Learning,R&amp;D Laboratories,3165,1,,,B0-2310,5/5/2023,327090.375,"4"" x 16' C-T Stud 20ga 30mil",66537,40,PC,0.64,ML,170924.5,109391.68,1/1/2023 0:00,8/31/2024 0:00,483032857.4,4 x 16 c-t stud 20ga 30mil,3,Steel
5240,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-1110,1/4/2024,58825.75,"1-1/2"" x 1-1/2"" x 10' Angle 20ga 33mil",51164,40,PC,0.4,ML,37742,15096.8,9/1/2020 0:00,4/5/2024 0:00,1642865619,1-1/2 x 1-1/2 x 10 angle 20ga 33mil,6,Steel
1473,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0330,7/3/2023,116800.635,"7-1/4"" 24T ROUND ARBOR MARATHON BLADE
IRWIN",25234,20,,,,798.26,15965.2,8/1/2022 0:00,2/5/2025 0:00,5447968752,7-1/4 24t round arbor marathon blade irwin,14,Misc
10796,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-2769,8/17/2023,640525.16,"#6 x 1-7/8"" Scorpion Bugle Head Drill Point Zinc 4M",46798,1,BX,1,BX,6554.75,6554.75,5/6/2022 0:00,5/30/2025 0:00,15598821597,6 x 1-7/8 scorpion bugle head drill point zinc 4m,10,Misc
5578,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1199,1/22/2024,13663.105,Grabber Quick Change Utility Knife,26847,4,EA,4,EA,709.75,2839,5/6/2022 0:00,5/30/2025 0:00,15598821597,grabber quick change utility knife,14,Misc
12811,A0-0186,,Pune,Maharashtra,India,Misc Market,Workspace,171000,5,,,B0-3578,9/3/2024,611164.89,"3-5/8"" x 10' Track 1-1/2"" Leg 20ga 33mil",50875,60,PC,0.6,ML,61038.5,36623.1,10/18/2021 0:00,6/2/2026 0:00,15701858802,3-5/8 x 10 track 1-1/2 leg 20ga 33mil,1,Steel
6400,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1421,3/14/2024,478378.18,"6"" x 10' Track 1-1/2"" Leg 16ga (54mil)",50879,30,PC,0.3,ML,197561,59268.3,2/3/2020 0:00,10/31/2025 0:00,34925565107,6 x 10 track 1-1/2 leg 16ga 54mil,1,Steel
5564,A0-0163,,Kochi,Kerala,India,Wellness,Health Center,19500,,,,B0-1193,1/23/2024,133135.74,"5/8"" x 4' x 9' Type X Drywall",61215,100,PC,3.6,MS,34235,123246,5/26/2023 0:00,5/2/2025 8:00,714978787.5,5/8 x 4 x 9 type x drywall,2,Drywall
10888,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-2793,9/19/2023,245195.245,"4"" x 10' Tabbed J-Track 1"" x 2-1/4"" Legs 20ga 33mil",60958,10,PC,0.1,ML,127922,12792.2,8/15/2022 0:00,1/21/2025 0:00,23204555261,4 x 10 tabbed j-track 1 x 2-1/4 legs 20ga 33mil,3,Steel
12176,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3303,3/21/2024,576223.48,"6"" x 10' Stud 1-5/8"" Flange 16ga",40328,20,PC,0.2,ML,239311,47862.2,8/15/2022 0:00,1/21/2025 0:00,23204555261,6 x 10 stud 1-5/8 flange 16ga,5,Steel
6149,A0-0068,,Visakhapatnam,Andhra Pradesh,India,Enterprise,Critical Ops,265850,0,0,0,B0-1357,2/29/2024,61957,"12"" x 77"" Arrow 4' Ceiling Tile Workstation",66901,1,EA,1,EA,58450,58450,9/12/2022 0:00,10/2/2023 0:00,4131524341,12 x 77 arrow 4 ceiling tile workstation,14,Flooring
11669,A0-0020,,Chandigarh,Chandigarh,India,Future Tech,Critical Ops,1400000,2,,,B0-3120,11/15/2023,461120.4,"12' x 1.64"" USG Fire Rated HD Main Tee Donn DXL
White 050 20/BX",60203,30,CT,7.2,ML,64044.5,461120.4,6/13/2022 0:00,2/4/2026 0:00,1.34E+11,12 x 1.64 usg fire rated hd main tee donn dxl white 050 20/bx,12,Drywall
2211,A0-0075,,Mumbai,Maharashtra,India,Wellness,Health Center,750,0,0,0,B0-0481,5/10/2023,100885.535,"Arm x17348 4' x 15/16 Cross Tee
White 60pc/ct",61312,8,pcs,32,,77655,,2/6/2023 0:00,6/16/2023 12:00,34491903.62,arm x17348 4 x 15/16 cross tee white 60pc/ct,8,Steel
579,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0145,2/3/2023,310787.835,"RECEIVE FREE 140XRJ05Z WITH PURCHASE OF
QUALYFING MAKITA LXT KIT",44218,2,,,,-16699.165,-33398.33,8/1/2022 0:00,2/5/2025 0:00,5447968752,receive free 140xrj05z with purchase of qualyfing makita lxt kit,14,Misc
1512,A0-0030,,Jaipur,Rajasthan,India,Bio Innovation,Misc Build,1046120,,,,B0-0343,7/7/2023,11872.865,"#4 9"" SPEED DOWEL 25/BAG GREENSTREAK",64196,4,,,,2754.665,11018.66,6/1/2022 0:00,6/30/2025 0:00,34018793433,4 9 speed dowel 25/bag greenstreak,17,Misc
6019,A0-0148,,Guwahati,Assam,India,Enterprise,Workspace,92942,,,,B0-1313,2/14/2024,470689.5,USG All Purpose Joint Compound 4.5g Pail,50016,104,PA,104,PA,1665.825,173245.8,6/1/2023 0:00,8/23/2024 12:00,1481952253,usg all purpose joint compound 4.5g pail,17,Drywall
12026,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-3238,12/20/2023,453023.405,Westpac Fast Set 40 Lite 20# Bag,66434,15,BG,15,BG,864.225,12963.375,2/3/2020 0:00,10/31/2025 0:00,34925565107,westpac fast set 40 lite 20 bag,17,Misc
9747,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-2416,4/6/2023,407970.145,"6"" x 10' Track 1-1/4"" Leg 20ga 30mil",60759,20,PC,0.2,ML,100283.5,20056.7,9/1/2020 0:00,4/5/2024 0:00,1642865619,6 x 10 track 1-1/4 leg 20ga 30mil,1,Steel
5928,A0-0148,,Guwahati,Assam,India,Enterprise,Workspace,92942,,,,B0-1290,2/9/2024,132079.465,"2"" x 2"" x 10' Angle 20ga 30mil",61343,20,PC,0.2,ML,63209.5,12641.9,6/1/2023 0:00,8/23/2024 12:00,1481952253,2 x 2 x 10 angle 20ga 30mil,6,Steel
415,A0-0011,,Thiruvananthapuram,Kerala,India,Wellness,Ambulatory Care,80000,,,,B0-0117,1/10/2023,156797.97,"14PC 1/2DR DEEP IMPACT SOCKET SET
WRIGHT",62958,1,,,,17461.52,17461.52,8/1/2022 0:00,2/5/2025 0:00,5447968752,14pc 1/2dr deep impact socket set wright,17,Misc. Electricals
6606,A0-0192,,Mysuru,Karnataka,India,Wellness,Ambulatory Care,1160,,,,B0-1489,3/28/2024,14112.335,Westpac Fast Set 40 Lite 20# Bag,66434,5,BG,5,BG,864.225,4321.125,8/16/2021 0:00,8/1/2024 17:00,199959655.2,westpac fast set 40 lite 20 bag,17,Misc
8399,A0-0208,,Delhi,Delhi,India,Wellness,Health Center,31200,,,,B0-1957,2/10/2023,31563,"3-5/8"" × 10' Slotted Slip Track 2-1/2"" Leg 20ga EQ",60937,10,PC,0.1,ML,159485,15948.5,11/1/2022 0:00,7/3/2023 12:00,951166124.3,3-5/8 10 slotted slip track 2-1/2 leg 20ga eq,1,Steel
13320,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-3778,11/25/2024,27234.36,National Quick Set Lite 20 Min 18# Bag,55228,10,BG,10,BG,1022.875,10228.75,8/15/2022 0:00,1/21/2025 0:00,23204555261,national quick set lite 20 min 18 bag,17,Misc
4543,A0-0111,,Rajkot,Gujarat,India,Wellness,Health Center,400000,9,,,B0-0785,6/29/2023,17535,"3/4 (23/32) "" 1-1/2"" X 96""",63200,100,PCS  ,,,112.725,,12/5/2022 0:00,6/23/2025 0:00,22955715208,3/4 23/32 1-1/2 x 96,14,Misc
427,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0123,1/18/2023,1218218.24,"4""X180' TAPE STEGO",26774,15,,,,2967.59,44513.85,9/6/2022 0:00,8/15/2024 0:00,9895473728,4 x180 tape stego,11,Drywall
622,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0150,2/8/2023,181665.105,"5/8"" X 15-3/4"" X 23-3/4"" SDS MAX HOLLOW
BIT DEWALT",56728,2,,,,11360.175,22720.35,9/6/2022 0:00,8/15/2024 0:00,9895473728,5/8 x 15-3/4 x 23-3/4 sds max hollow bit dewalt,14,Misc
2095,A0-0072,,Mumbai,Maharashtra,India,Wellness,Health Center,1000,0,0,0,B0-0457,3/31/2023,103438.965,"1 1/4"" Metal Corner Bead 10'",58216,6,PCS,60,,32064,,3/6/2023 0:00,5/19/2023 0:00,29582132.01,1 1/4 metal corner bead 10,9,Misc
6342,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-1409,3/6/2024,105018.785,"12' x 1.64"" USG Fire Rated HD Main Tee Donn
DX/DXL Flat Black 20/BX",66972,2,CT,0.48,ML,90096.5,43246.32,2/3/2020 0:00,10/31/2025 0:00,34925565107,12 x 1.64 usg fire rated hd main tee donn dx/dxl flat black 20/bx,12,Drywall
2381,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0511,7/5/2023,59388.54,"U.S.G. Mid-Weight Mud 4.5 Gallon
Pail Purple",61282,10,can,10,,1983.125,,10/19/2020 0:00,7/10/2023 12:00,12657755648,u.s.g. mid-weight mud 4.5 gallon pail purple,14,Misc
10045,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-2461,6/15/2023,-4446.375,"6"" x 25' C-T Stud 20ga 33mil
Orig Inv#: 1006376817-001",61010,-20,PC,,ML,191465.5,-95732.75,8/15/2022 0:00,1/21/2025 0:00,23204555261,6 x 25 c-t stud 20ga 33mil orig inv 1006376817-001,3,Steel
2341,A0-0016,,Mumbai,Maharashtra,India,Enterprise,Workspace,3300,0,0,0,B0-0502,7/1/2023,18776.645,"N95 Respirator 8200 3M Respirator
20/box",51854,1,box,1,,1681.69,,2/27/2023 0:00,11/30/2023 0:00,169152463,n95 respirator 8200 3m respirator 20/box,17,Misc
266,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-0075,5/25/2023,102187.3,10.1OZ CETSEAL SEALANT ADHESIVE CETCO,58121,9,,,,1404.47,12640.23,2/3/2020 0:00,10/31/2025 0:00,34925565107,10.1oz cetseal sealant adhesive cetco,14,Misc
3026,A0-0095,,Kanpur,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,0,0,0,0,B0-0624,2/6/2023,32489.015,"1-5/8"" 20ga DW Track 10' w/1-1/4"" Leg",61265,2,PCS,20,,47261,,10/1/2021 0:00,5/5/2023 0:00,547170426.5,1-5/8 20ga dw track 10 w/1-1/4 leg,14,Steel
10456,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-2646,7/31/2023,687161.58,"1-1/2"" x 1-1/2"" x 10' Angle 18ga 43mil
4TH FLOOR",61323,40,PC,0.4,ML,55360.5,22144.2,2/3/2020 0:00,10/31/2025 0:00,34925565107,1-1/2 x 1-1/2 x 10 angle 18ga 43mil 4th floor,6,Steel
5280,A0-0003,,Ahmedabad,Gujarat,India,Future Tech,Critical Ops,450000,,,,B0-1115,1/18/2024,1105773.8,"6"" x 19' 8"" Stud 1-5/8"" Flange 16ga",60695,160,PC,3.147,ML,196225,617455.78,7/12/2021 0:00,11/1/2024 17:00,14191958070,6 x 19 8 stud 1-5/8 flange 16ga,5,Steel
6248,A0-0023,,Kolkata,West Bengal,India,Enterprise,Hospitality Hall,435000,11,500,,B0-1380,2/29/2024,125387.775,"2"" x 2"" x 10' Angle 20ga 30mil",61343,200,PC,2,ML,58867.5,117735,8/15/2022 0:00,1/21/2025 0:00,23204555261,2 x 2 x 10 angle 20ga 30mil,6,Steel
8910,A0-0028,,Agra,Uttar Pradesh,India,Wellness,Ambulatory Care,4500,0,5,0,B0-2134,3/29/2023,17861.485,"3-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",60409,10,PC,0.1,ML,49265,4926.5,1/23/2023 0:00,7/7/2023 12:00,165263859.7,3-5/8 x 10 track 1-1/4 leg 20ga eq,1,Steel
10538,A0-0004,,Bengaluru,Karnataka,India,Enterprise,Workspace,2800000,0,0,0,B0-2680,8/8/2023,2986534.48,"6"" x 12' Track 1-1/2"" Leg 14ga",60191,90,PC,1.08,ML,227955,246191.4,2/3/2020 0:00,10/31/2025 0:00,34925565107,6 x 12 track 1-1/2 leg 14ga,1,Steel
6109,A0-0164,,Amritsar,Punjab,India,Bio Innovation,Pharma Synth,40000,,,,B0-1341,2/19/2024,70557.5,"3-5/8"" x 10' Stud 1-5/8"" Flange 18ga",63667,20,PC,0.2,ML,132347.5,26469.5,11/1/2022 0:00,6/11/2025 0:00,7712088582,3-5/8 x 10 stud 1-5/8 flange 18ga,5,Steel
9363,A0-0268,,Nagpur,Maharashtra,India,Wellness,Health Center,3321,,,,B0-2293,5/11/2023,327016.06,"1-1/2"" x 4' USG Donn AX 15/16"" Cross Tee Aluminum
with SS Clips Flat White 60/BX #",66911,71,PC,0.284,ML,224364.5,63719.685,2/1/2023 0:00,10/13/2023 12:00,115452736.3,1-1/2 x 4 usg donn ax 15/16 cross tee aluminum with ss clips flat white 60/bx,12,Steel
2089,A0-0072,,Mumbai,Maharashtra,India,Wellness,Health Center,1000,0,0,0,B0-0457,3/31/2023,103438.965,"3-5/8"" 20ga DW Track 10' w/1-1/4"" Leg",61206,10,pcs,100,,65464,,3/6/2023 0:00,5/19/2023 0:00,29582132.01,3-5/8 20ga dw track 10 w/1-1/4 leg,14,Steel
12942,A0-0183,,Ludhiana,Punjab,India,Bio Innovation,R&amp;D Laboratories,250000,0,0,0,B0-3618,9/11/2024,227457.34,"3-5/8"" x 10' Track 1-1/4"" Leg 20ga EQ",60409,20,PC,0.2,ML,43002.5,8600.5,4/5/2021 0:00,8/23/2024 0:00,8656553408,3-5/8 x 10 track 1-1/4 leg 20ga eq,1,Steel
2143,A0-0073,,Jodhpur,Rajasthan,India,Wellness,Health Center,120000,3,0,60,B0-0468,4/5/2023,15798.2,"#8 x 2"" Wafer Head Sharp Point 5lb
Screw V3151",63918,2,box,2,,4364.545,,5/3/2021 0:00,9/8/2023 12:00,6223919374,8 x 2 wafer head sharp point 5lb screw v3151,10,Steel
4192,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0707,2/10/2023,211007.84,"Arm 4"" 1 piece Axiom DW trim straight
10' White",63892,16,pc,16,,12441.5,,10/19/2020 0:00,7/10/2023 12:00,12657755648,arm 4 1 piece axiom dw trim straight 10 white,8,Misc
9758,A0-0161,,Coimbatore,Tamil Nadu,India,Tertiary Learning,Misc Build,34000,2,,,B0-2416,4/6/2023,407970.145,"12"" x 10' Flat Strap 16ga 54mil G60",65139,10,PC,0.1,ML,254675,25467.5,9/1/2020 0:00,4/5/2024 0:00,1642865619,12 x 10 flat strap 16ga 54mil g60,14,Misc
4008,A0-0081,,Mumbai,Maharashtra,India,Wellness,Ambulatory Care,1200,,,,B0-0541,9/14/2023,8780.025,"Quick Set Lite 20 Settin g Compound
18lb Bag",55228,1,bag,1,,1369.4,,7/24/2023 0:00,9/15/2023 12:00,17326083,quick set lite 20 settin g compound 18lb bag,17,Cables
1083,A0-0025,,Jaipur,Rajasthan,India,Bio Innovation,R&amp;D Laboratories,249000,5,,,B0-0239,5/1/2023,19530.65,NOSE CONE ASS'Y MAKITA 197024-6,63119,12,,,,1510.515,18126.18,2/14/2022 0:00,10/17/2024 0:00,7645779545,nose cone ass y makita 197024-6,14,Misc
1672,A0-0018,,Udaipur,Rajasthan,India,Enterprise,Misc Build,20000,,,,B0-0380,9/26/2023,81605.385,"LHSP 48"" WOOD HANDLE UNION SHOVEL AMES",64043,2,EA,,,1454.57,2909.14,4/4/2022 0:00,1/12/2024 12:00,361624722.5,lhsp 48 wood handle union shovel ames,14,Wood & Carpentry
4220,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0716,2/20/2023,394554.2,"3m Venture #1540 3""x150' ASJ White
Tape",56646,16,roll,16,,3019.36,,10/19/2020 0:00,7/10/2023 12:00,12657755648,3m venture 1540 3 x150 asj white tape,11,Drywall
9167,A0-0248,,Ranchi,Jharkhand,India,Wellness,Ambulatory Care,12866,,,,B0-2232,4/17/2023,-344677.98,12' Hanger Wire 12ga 50LB 133pc,65354,4,BD,4,BD,6262.5,25050,2/20/2023 0:00,10/3/2023 12:00,140673285,12 hanger wire 12ga 50lb 133pc,14,Misc
3112,A0-0079,,Mumbai,Maharashtra,India,Enterprise,Workspace,6133,0,0,0,B0-0632,7/10/2023,181804.55,"Drywall Paper Joint Tape 250' Roll
20/box",42172,2,roll,2,,354.04,,5/30/2023 0:00,10/4/2023 12:00,184506781.2,drywall paper joint tape 250 roll 20/box,17,Drywall
3520,A0-0068,,Visakhapatnam,Andhra Pradesh,India,Enterprise,Critical Ops,265850,0,0,0,B0-0458,3/31/2023,28162.88,"Flat Head Tapcon 1/4 x 3 1/4"" 100/bx",66237,6,box,6,,1796.92,,9/12/2022 0:00,10/2/2023 0:00,4131524341,flat head tapcon 1/4 x 3 1/4 100/bx,14,Plumbing Fixtures
9215,A0-0229,,Bhubaneswar,Odisha,India,Enterprise,Hospitality Hall,500000,,500,500,B0-2253,4/20/2023,21694.135,"1-1/4"" x 10' Clark Quicksilver Corner Bead 50/bx",66932,1,CT,0.5,ML,21710,10855,8/1/2022 0:00,6/2/2023 0:00,2838833529,1-1/4 x 10 clark quicksilver corner bead 50/bx,9,Misc
1972,A0-0057,,Varanasi,Uttar Pradesh,India,Enterprise,Workspace,523093,11,274,0,B0-0441,3/9/2023,80256.86,"2"" 3M 2090 SOLD BY ROLL Blue
Premium Tape 180'",52665,5,roll,5,,1071.305,,10/19/2020 0:00,7/10/2023 12:00,12657755648,2 3m 2090 sold by roll blue premium tape 180,11,Drywall
2609,A0-0082,,Mumbai,Maharashtra,India,Enterprise,Workspace,2568,0,0,0,B0-0549,9/27/2023,17862.32,"5/8"" Firecode Drywall 4' x 8'",62237,2,PCS,64,,48012.5,,3/27/2023 0:00,9/8/2023 12:00,129415982,5/8 firecode drywall 4 x 8,2,Drywall
7403,A0-0160,,Cuttack,Odisha,India,Bio Innovation,R&amp;D Laboratories,55000,0,0,0,B0-1658,5/10/2024,30239.525,"1/4"" x 3"" Doc's Industries I-LAG Screw 1M",34439,1,BX,1,BX,5702.215,5702.215,5/1/2023 0:00,8/22/2024 17:00,2838119884,1/4 x 3 doc s industries i-lag screw 1m,14,Steel
7666,A0-0162,,Lucknow,Uttar Pradesh,India,Bio Innovation,R&amp;D Laboratories,288000,0,0,0,B0-1727,6/3/2024,536500.025,"#6 x 1-1/4"" Scorpion Bugle Head Drill Point Zinc 8M",46796,3,BX,3,BX,8976.25,26928.75,5/6/2022 0:00,5/30/2025 0:00,15598821597,6 x 1-1/4 scorpion bugle head drill point zinc 8m,10,Misc
10808,A0-0156,,Nagpur,Maharashtra,India,Wellness,Health Center,583000,,,,B0-2773,9/19/2023,584232.8,10' Hanger Wire 12ga with Clip / Pin 100/BD,43460,2,BD,2,BD,8049.4,16098.8,11/28/2018 0:00,8/23/2024 0:00,23273459144,10 hanger wire 12ga with clip / pin 100/bd,14,Hardware & Fasteners
695,A0-0009,,Jaipur,Rajasthan,India,Enterprise,Workspace,350000,4,,,B0-0154,2/10/2023,656452.785,"14'X140' 15MIL CLASS A VAPOR BARRIER
WHITE ROLL WRAPPER STEGO",64529,16,,,,33362.425,533798.8,9/6/2022 0:00,8/15/2024 0:00,9895473728,14 x140 15mil class a vapor barrier white roll wrapper stego,11,Steel
9350,A0-0236,,Madurai,Tamil Nadu,India,Enterprise,Workspace,30100,,,,B0-2289,5/1/2023,62342.77,"12' x 1.64"" USG NON Fire Rated 15/16"" Main Tee
Donn DX Flat White 050 20/BX",49025,1,CT,0.24,ML,94772.5,22745.4,11/1/2022 0:00,4/12/2023 12:00,408404495.3,12 x 1.64 usg non fire rated 15/16 main tee donn dx flat white 050 20/bx,12,Drywall
